,Company,Ticker
725,Royal Caribbean Cruises,RCL
726,Royal Gold,RGLD
727,"RPC, Inc.",RES
728,RPM International,RPM
729,RSP Permian,RSPP
730,Ryder,R
731,S&P Global,SPGI
732,Sabre Corporation,SABR
733,Sage Therapeutics,SAGE
734,Salesforce.com,CRM
735,Banco Santander,SC
736,Sarepta Therapeutics,SRPT
737,SBA Communications,SBAC
738,Henry Schein,HSIC
739,Schlumberger,SLB
740,Schneider National,SNDR
741,Charles Schwab Corporation,SCHW
742,Scotts Miracle-Gro Company,SMG
743,Seaboard Corporation,SEB
744,Sealed Air,SEE
745,Quest Diagnostics,DGX
746,Qurate Retail Group,QRTEA
747,Ralph Lauren Corporation,RL
748,Range Resources,RRC
749,Raymond James Financial,RJF
750,Rayonier,RYN
751,Raytheon Technologies,RTX
752,ServiceNow,NOW
753,Service Properties Trust,SVC
754,Sherwin-Williams,SHW
755,Signature Bank,SBNY
756,Silgan Holdings,SLGN
757,Simon Property Group,SPG
758,Sirius XM Satellite Radio,SIRI
759,Six Flags,SIX
760,Skechers,SKX
761,Skyworks Solutions,SWKS
762,SL Green Realty,SLG
763,Sallie Mae,SLM
764,SM Energy,SM
765,A. O. Smith,AOS
766,The J.M. Smucker Company,SJM
767,Snap-on,SNA
768,Sonoco Products,SON
769,Southern Airways Express,SO
770,Southern Copper,SCCO
771,Southwest Airlines,LUV
772,Spectrum Brands,SPB
773,Spirit Aerosystems,SPR
774,Spirit Realty Capital,SRC
775,Splunk,SPLK
776,Sprouts Farmers Market,SFM
777,"Square, Inc.",SQ
778,SS&C Technologies,SSNC
779,Stanley Black & Decker,SWK
780,Starbucks,SBUX
781,Starwood Property Trust,STWD
782,State Street Corporation,STT
783,Steel Dynamics,STLD
784,Stericycle,SRCL
785,Steris,STE
786,Sterling Bancorp,STL
787,Store Capital,STOR
788,Stryker,SYK
789,Sun Communities,SUI
790,Suntrust Banks,STI
791,Silicon Valley Bank,SIVB
792,Switch,SWCH
793,Seagen Inc.,SGEN
794,SEI Investments Company,SEIC
795,Sempra Energy,SRE
796,Sensata Technologies,ST
797,Service Corporation International,SCI
798,ServiceMaster,SERV
799,"Tapestry, Inc.",TPR
